"user_id","email","first_name","last_name","age","gender","country","state_province","city","subscription_plan","subscription_start_date","is_active","monthly_spend","primary_device","household_size","created_at"
"user_00001","figueroajohn@example.org","erica","garza",43,"Male","USA","Massachusetts","North Jefferyhaven","Basic",2024-04-08,TRUE,36.06,"Laptop",1,2023-04-01
"user_00002","blakeerik@example.com","joshua","bernard",38,"Male","USA","Texas","North Noahstad","Premium+",2024-05-24,TRUE,14.59,"Desktop",2,2024-10-10
"user_00003","smiller@example.net","barbara","williams",32,"Female","USA","Michigan","Traciebury","Standard",2023-09-22,FALSE,11.71,"Desktop",3,2024-06-29
"user_00004","mitchellclark@example.com","chelsea","ferguson",11,"Male","USA","Ohio","South Noah","Standard",2024-08-21,TRUE,28.56,"Laptop",2,2023-04-11
"user_00005","richard13@example.net","jason","foster",21,"Female","USA","Arizona","West Donald","Standard",2024-10-28,TRUE,9.54,"Desktop",6,2025-04-12
"user_00006","jeffrey28@example.com","katelyn","hernandez",43,"Female","Canada","Quebec","Carlsonfurt","Standard",2024-05-16,TRUE,34.27,"Gaming Console",2,2024-03-04
"user_00007","maldonadoamanda@example.com","daniel","moore",63,"Unknown","USA","Maryland","Teresaburgh","Premium",2025-03-13,TRUE,27.74,"Desktop",1,2025-02-10
"user_00008","nathanielmartin@example.net","carol","smith",40,"Male","Canada","New Brunswick","Johnbury","Basic",2022-11-03,TRUE,6.69,"Tablet",1,2025-01-13
"user_00009","donnaarroyo@example.org","allison","brandt",24,"Male","USA","North Carolina","Raymondstad","Premium",2025-04-13,TRUE,12.21,"Gaming Console",5,2022-12-13
"user_00010","morganbrianna@example.org","adrian","perez",24,"Male","USA","Pennsylvania","Chadbury","Basic",2024-08-04,TRUE,23.18,"Laptop",1,2024-03-15
"user_00011","kristenaguirre@example.org","collin","gomez",67,"Female","USA","Ohio","Shieldston","Basic",2022-10-07,TRUE,42.395,"Desktop",2,2024-12-27
